domA	domB	source
d1p1da2	d2hgaa1	candidate
d1x45a1	d2hgaa1	candidate
d2edva1	d2hgaa1	candidate
d1x6da1	d2hgaa1	candidate
d1ihja_	d2hgaa1	candidate
d2hgaa1	d5fb8c_	candidate
d1uita1	d2hgaa1	candidate
d2hgaa1	d4yo1a1	candidate
d2hgaa1	d2q3ga1	candidate
d2hgaa1	d2vsva1	candidate
d2daza1	d2hgaa1	candidate
d1v6ba1	d2hgaa1	candidate
d1fftc2	d3d19a1	candidate
d1qzya1	d7k5yu_	candidate
d1xgsa1	d7k5yu_	candidate
d1vm6a2	d2hqsc2	candidate
d1vm6a2	d3td3a1	candidate
d1qmha1	d1vm6a2	candidate
d1vm6a2	d7rjja_	candidate
d3cfya1	d3ozua3	candidate
d1krha2	d3cfya1	candidate
d3cfya1	d4eh1a2	candidate
d1tvca2	d3cfya1	candidate
d2piaa2	d3cfya1	candidate
d3cfya1	d3lo8a2	candidate
d1bdfa1	d1y0ha_	candidate
d1ig3a2	d3imka1	candidate
d2nx2a1	d3imka1	candidate
d2rspa_	d4jp6a_	candidate
d1qzya1	d6qpqb_	candidate
d3cg4a_	d3ozua3	candidate
d3kyjb1	d3ozua3	candidate
d1p9la1	d3ozua3	candidate
d3ozua3	d5mp7a2	candidate
d1l5za1	d3ozua3	candidate
d1zgza1	d3ozua3	candidate
d3eqza1	d3ozua3	candidate
d1dbwa_	d3ozua3	candidate
d3ozua3	d5c1ta1	candidate
d3hlya_	d3ozua3	candidate
d1w25a2	d3ozua3	candidate
d3ozua3	d6xvud_	candidate
d1ccwa_	d3ozua3	candidate
d3ozua3	d7ccia1	candidate
d1w25a1	d3ozua3	candidate
d3ozua3	d6ohka1	candidate
d3cz5a_	d3ozua3	candidate
d3ozua3	d6onta_	candidate
d2jrla_	d3ozua3	candidate
d3ozua3	d6swla_	candidate
d2b4aa1	d3ozua3	candidate
d2qv0a_	d3ozua3	candidate
d3eula_	d3ozua3	candidate
d3ozua3	d6ekgy_	candidate
d1p6qa_	d3ozua3	candidate
d1bvyf_	d3ozua3	candidate
d3ozua3	d5nula_	candidate
d3ozua3	d3t8ya_	candidate
d1jbea_	d3ozua3	candidate
d1gdha2	d3ozua3	candidate
d2j67a_	d3ozua3	candidate
d1u9ya2	d3ozua3	candidate
d2qr3a1	d3ozua3	candidate
d3hv2a_	d3ozua3	candidate
d3ozua3	d5tqja_	candidate
d3ozua3	d4d6ya_	candidate
d3heba1	d3ozua3	candidate
d2pv7a2	d3ozua3	candidate
d1vm6a3	d3ozua3	candidate
d3ozua3	d4e7pa1	candidate
d3ozua3	d4euka_	candidate
d3khta_	d3ozua3	candidate
d2egha2	d3ozua3	candidate
d1rlja1	d3ozua3	candidate
d1t3ga_	d3ozua3	candidate
d1dcfa_	d3ozua3	candidate
d1mx3a2	d3ozua3	candidate
d3bula2	d3ozua3	candidate
d3h5ia_	d3ozua3	candidate
d1j4aa2	d3ozua3	candidate
d3ozua3	d6nfea2	candidate
d1m5ta_	d3ozua3	candidate
d3ozua3	d4zyla_	candidate
d2mska_	d3ozua3	candidate
d3ozua3	d3q15c_	candidate
d1vdma1	d3ozua3	candidate
d1qtsa1	d1rlwa_	candidate
d2ih3c_	d4dnda_	candidate
d1p9la1	d4eh1a2	candidate
d1p9la1	d3qfta2	candidate
d1f20a2	d1p9la1	candidate
d1p9la1	d3lo8a2	candidate
d1h7ca_	d2fcwa1	candidate
d1ca1a2	d3ziwa2	candidate
d1e8ca2	d1gyta1	candidate
d1fxma_	d3raoa1	candidate
d1fxma_	d1luca_	candidate
d1jmxb_	d1olza2	candidate
d1sc6a3	d1uv7a_	candidate
d1qzya1	d4ou0a_	candidate
d1xgsa1	d4ou0a_	candidate
d2gc6a1	d5c1ta2	candidate
d1bgca_	d1moja_	candidate
d1eera_	d1moja_	candidate
d1evsa_	d1moja_	candidate
d1lkia_	d1moja_	candidate
d1fe4a_	d1uv7a_	candidate
d1fftc2	d3dbya2	candidate
d2pg0a2	d3rf3a1	candidate
d2c0ua1	d3rf3a1	candidate
d3rf3a1	d4hr3a2	candidate
d3rf3a1	d5af7a2	candidate
d3r7ka2	d3rf3a1	candidate
d3ii9a2	d3rf3a1	candidate
d1wosa1	d2grea1	candidate
d1qzya1	d1zyba1	candidate
d1xgsa1	d1zyba1	candidate
d1vq8s1	d2lxia_	candidate
d1uv7a_	d3ulha_	candidate
d2d81a1	d2xuaa_	candidate
d1k77a1	d4h2ha2	candidate
d1atia1	d1nu0a_	candidate
d1atia1	d1vhxa1	candidate
d1atia1	d3zeua1	candidate
d1qzya1	d1xmka1	candidate
d1xgsa1	d1xmka1	candidate
d2d81a1	d6kxha_	candidate
d1wosa1	d2jdia2	candidate
d1wosa1	d1xe1a_	candidate
d1wosa1	d2f1la2	candidate
d1wosa1	d2crva1	candidate
d1d1na_	d1wosa1	candidate
d1r5ba1	d1wosa1	candidate
d1wosa1	d2jdid2	candidate
d1wosa1	d2pp6a1	candidate
d1wosa1	d2c78a1	candidate
d1wosa1	d3gqba1	candidate
d1wosa1	d2dpya1	candidate
d1jnya1	d1wosa1	candidate
d1wosa1	d4ac9a2	candidate
d1wosa1	d4rd4a2	candidate
d1wosa1	d2qgga1	candidate
d1wosa1	d2e1ba1	candidate
d1wosa1	d1zunb1	candidate
d1wosa1	d2fvga1	candidate
d1wosa1	d3h9na1	candidate
d1wosa1	d1y0ya1	candidate
d1wosa1	d4ac9a1	candidate
d1wosa1	d1yloa1	candidate
d1g7sa1	d1wosa1	candidate
d2d74b1	d3u1la2	candidate
d2ayxa1	d2piaa2	candidate
d2hbwa2	d2if6a1	candidate
d1cv8a_	d2if6a1	candidate
d1ct5a_	d1h1na_	candidate
d1uv7a_	d2dgxa1	candidate
d3bw6a1	d3by8a_	candidate
d1p0za1	d3bw6a1	candidate
d2a2la1	d3bw6a1	candidate
d1on2a1	d1qzya1	candidate
d1on2a1	d1xgsa1	candidate
d1bdfa1	d3hx9a_	candidate
d1xppa_	d3hx9a_	candidate
d1cfba2	d3rkpa1	candidate
d1j4aa1	d1l7da2	candidate
d1uv7a_	d2f1fa1	candidate
d1nw7a_	d3thra_	candidate
d1nw7a_	d2nxca1	candidate
d1nw7a_	d2cmga_	candidate
d1nw7a_	d1o9ga_	candidate
d1nw7a_	d2b3ta_	candidate
d1nw7a_	d2wk1a_	candidate
d1uv7a_	d2ghpa2	candidate
d2piaa2	d3nhma_	candidate
d1ct5a_	d1ztva1	candidate
d1l5za1	d3qfta2	candidate
d2jbaa_	d2piaa2	candidate
d1r3ra_	d2ycix1	candidate
d1huwa_	d3ka8a_	candidate
d1huwa_	d3kwoa1	candidate
d1huwa_	d1jiga_	candidate
d1huwa_	d2ib0a1	candidate
d1huwa_	d4iwka_	candidate
d1huwa_	d2pyba_	candidate
d1zq1c2	d3ztpa_	candidate
d1zq1c2	d3gp9a1	candidate
d1r3ra_	d4o1ea1	candidate
d1r3ra_	d3bofa1	candidate
d1uv7a_	d5o2va_	candidate
d1ib8a2	d2qn6b_	candidate
d1ijqa1	d6tbnb1	candidate
d2f9wa2	d4hwta2	candidate
d1nu0a_	d4hwta2	candidate
d3rkpa1	d5c71a2	candidate
d1x5ya1	d3rkpa1	candidate
d1j8ka_	d3rkpa1	candidate
d2rb8a_	d3rkpa1	candidate
d1axib2	d3rkpa1	candidate
d3rkpa1	d6xaxa1	candidate
d3hn3a2	d3rkpa1	candidate
d3n0pb2	d3rkpa1	candidate
d1cd9b2	d3rkpa1	candidate
d1x5aa1	d3rkpa1	candidate
d3rkpa1	d4gs7c2	candidate
d2ee3a1	d3rkpa1	candidate
d2gysa4	d3rkpa1	candidate
d3rkpa1	d4jkla2	candidate
d2cuma1	d3rkpa1	candidate
d2edya1	d3rkpa1	candidate
d1uc6a1	d3rkpa1	candidate
d3rkpa1	d5u8ra5	candidate
d3rkpa1	d5n48b_	candidate
d3rkpa1	d6tpua1	candidate
d3rkpa1	d4gs7b2	candidate
d3rkpa1	d6u7ja2	candidate
d2gysa2	d3rkpa1	candidate
d3r8qa2	d3rkpa1	candidate
d3lpwa2	d3rkpa1	candidate
d1y6kr2	d3rkpa1	candidate
d1ldda_	d1qzya1	candidate
d1ldda_	d1xgsa1	candidate
d2piaa2	d3hzha_	candidate
d1zgza1	d4eh1a2	candidate
d1zgza1	d2piaa2	candidate
d1iwga3	d3fz2a1	candidate
d1bdfa1	d1iwga3	candidate
d1iwga3	d2gjva1	candidate
d1iwga3	d2phcb2	candidate
d1qtsa1	d1wfja1	candidate
d1qtsa1	d6btya_	candidate
d1qtsa1	d1rh8a_	candidate
d1qtsa1	d2bwqa_	candidate
d4c72a2	d6lw3a_	candidate
d1orja1	d1xg2b1	candidate
d1qzya1	d2hoea1	candidate
d1vq8s1	d2pe8a1	candidate
d1u14a1	d2h84a2	candidate
d2nlya1	d3anua2	candidate
d1v6ta_	d3anua2	candidate
d2i5ia1	d3anua2	candidate
d2piaa2	d3n53a1	candidate
d2piaa2	d4h60a1	candidate
d1x91a_	d3dbya1	candidate
d1xg2b1	d3dbya1	candidate
d2cj4a_	d3dbya1	candidate
d3rkpa3	d5c71a2	candidate
d1qzya1	d3kcca2	candidate
d1qzya1	d1xb4a2	candidate
d1qzya1	d1wi9a1	candidate
d1qzya1	d2heoa_	candidate
d1lvaa3	d1qzya1	candidate
d1qzya1	d2dtra1	candidate
d1p41a1	d1qzya1	candidate
d1qzya1	d1ucra_	candidate
d1qzya1	d2ve8a_	candidate
d1qzya1	d2bbya_	candidate
d1qbja_	d1qzya1	candidate
d1qzya1	d3bwga1	candidate
d1qzya1	d5u8ja2	candidate
d1qzya1	d1t6sa2	candidate
d1qzya1	d4awxb1	candidate
d1cf7a_	d1qzya1	candidate
d1qzya1	d1u5tb2	candidate
d1hw1a1	d1qzya1	candidate
d1lvaa4	d1qzya1	candidate
d1qzya1	d2coha4	candidate
d1qzya1	d3cuqa2	candidate
d1ft9a1	d1qzya1	candidate
d1qzya1	d2ns0a1	candidate
d1qzya1	d2hs5a1	candidate
d1qzya1	d1ussa_	candidate
d1qzya1	d3r6sa2	candidate
d1oyia_	d1qzya1	candidate
d1qzya1	d1ufma1	candidate
d1qzya1	d2obpa1	candidate
d1qzya1	d1sfua_	candidate
d1p6ra_	d1qzya1	candidate
d1qzya1	d1z05a1	candidate
d1d8ka_	d1qzya1	candidate
d1qzya1	d3f0pa1	candidate
d1qzya1	d3bz6a2	candidate
d1j5ya1	d1qzya1	candidate
d1qzya1	d2cmxa_	candidate
d1pyfa1	d1r30a_	candidate
d1v5va1	d2jdia2	candidate
d1vloa1	d2jdia2	candidate
d1fdra2	d3eqza1	candidate
d1fdra2	d5c1ta1	candidate
d1fdra2	d3q72a_	candidate
d1fdra2	d1rlja1	candidate
d1fdra2	d1t3ga_	candidate
d1drua2	d4zhwa_	candidate
d1p9la2	d4zhwa_	candidate
d1uv7a_	d2ldia_	candidate
d1qzya1	d3e5ua1	candidate
d1uv7a_	d2cz4a1	candidate
d1g7sa4	d2brxa1	candidate
d1xe1a_	d2pp6a1	candidate
d1vloa1	d1xe1a_	candidate
d1svsa1	d7cc3a1	candidate
d1r30a_	d3up8a1	candidate
d1pj5a1	d2f1la2	candidate
d1ca4a1	d1wfma1	candidate
d1ca4a1	d1wfja1	candidate
d1ca4a1	d2yrba1	candidate
d1ca4a1	d1rh8a_	candidate
d1ca4a1	d2bwqa_	candidate
d1ca4a1	d4ns0a_	candidate
d1cwva1	d5m0yb1	candidate
d1au1a_	d1rtwa_	candidate
d1au1a_	d3mvua_	candidate
d1au1a_	d1j77a_	candidate
d1au1a_	d2q4xa_	candidate
d1au1a_	d3no6a1	candidate
d1au1a_	d3kwoa1	candidate
d1f45b_	d3kwoa1	candidate
d1f45b_	d1jiga_	candidate
d1f45b_	d2ib0a1	candidate
d2cj4a_	d3d19a2	candidate
d1nh8a2	d1uv7a_	candidate
d1bgca_	d2c41a_	candidate
d1eera_	d2c41a_	candidate
d1evsa_	d2c41a_	candidate
d1lkia_	d2c41a_	candidate
d1eera_	d2c2ua_	candidate
d2io8a3	d5s5df2	candidate
d1krha2	d3eqza1	candidate
d3eqza1	d4eh1a2	candidate
d3eqza1	d3qfta2	candidate
d1tvca2	d3eqza1	candidate
d1f20a2	d3eqza1	candidate
d2piaa2	d3eqza1	candidate
d1qfja2	d3eqza1	candidate
d3eqza1	d3lo8a2	candidate
d1dbwa_	d1krha2	candidate
d1dbwa_	d4eh1a2	candidate
d1dbwa_	d2piaa2	candidate
d1dbwa_	d1qfja2	candidate
d1dbwa_	d3lo8a2	candidate
d1i4ja_	d2rdxa1	candidate
d1stma_	d3v98a1	candidate
d1bu8a1	d1stma_	candidate
d1ca1a2	d1stma_	candidate
d1stma_	d2p0ma2	candidate
d1ffgb_	d3bp3a_	candidate
d1ffgb_	d1uv7a_	candidate
d1bdfa1	d1iwga2	candidate
d1iwga2	d1ru0a_	candidate
d1iwga2	d2phcb2	candidate
d1nc7a1	d2a73b6	candidate
d1nc7a1	d1nqja_	candidate
d1nc7a1	d3cu7ad	candidate
d1drua2	d2hqsc2	candidate
d2crva1	d4ac9a3	candidate
d1vloa1	d2crva1	candidate
d1p0za1	d6qh5n_	candidate
d3ivva1	d5r68a_	candidate
d1pfoa2	d3cu7ad	candidate
d1cnt1_	d1hf8a1	candidate
d3b7ya_	d3pjla_	candidate
d1r30a_	d3raoa1	candidate
d1xyza_	d3raoa1	candidate
d2fg1a2	d2gc6a1	candidate
d1j6ua2	d2fg1a2	candidate
d1o5za1	d2fg1a2	candidate
d1bgca_	d4cy9a1	candidate
d1eera_	d4cy9a1	candidate
d1evsa_	d4cy9a1	candidate
d1lkia_	d4cy9a1	candidate
d2gmqa1	d2qdxa1	candidate
d1vloa1	d2qdxa1	candidate
d3bp3a_	d3rw7a1	candidate
d1uv7a_	d3rw7a1	candidate
d1vq8s1	d3rw7a1	candidate
d1uv7a_	d2cyya2	candidate
d1xb4a2	d1xgsa1	candidate
d1vq8r1	d4dhga1	candidate
d1uv7a_	d1y3ja1	candidate
d1bgca_	d1rtwa_	candidate
d1rtwa_	d3piwa_	candidate
d1evsa_	d1rtwa_	candidate
d1n1fa_	d1rtwa_	candidate
d1alua_	d1rtwa_	candidate
d5o2da_	d7cc3a1	candidate
d5laua1	d7cc3a1	candidate
d4d86a1	d7cc3a1	candidate
d1yd9a1	d7cc3a1	candidate
d1xg2b1	d2ykza_	candidate
d1aepa_	d2ykza_	candidate
d1u84a_	d2np3a2	candidate
d1aepa_	d6a3ka_	candidate
d1s2la_	d3qfta2	candidate
d1kqka_	d1uv7a_	candidate
d1o8ba2	d1vq8s1	candidate
d2ia7a1	d4az9a1	candidate
d1g7sa4	d4a7wa_	candidate
d1ct5a_	d3no3a1	candidate
d1ct5a_	d2y24a2	candidate
d1ct5a_	d1vd6a_	candidate
d1ceoa_	d1ct5a_	candidate
d1ct5a_	d3qvqa_	candidate
d1ct5a_	d3amca_	candidate
d1ct5a_	d1ta3a_	candidate
d1c0aa2	d3ztpa_	candidate
d1bgca_	d3ka8a_	candidate
d1bgca_	d4cyba_	candidate
d1bgca_	d3iq1a_	candidate
d1bgca_	d4cvra_	candidate
d1bgca_	d3kwoa1	candidate
d1bgca_	d5hjfa_	candidate
d1bgca_	d6txia_	candidate
d1bgca_	d4a25a_	candidate
d1bgca_	d1jiga_	candidate
d1bgca_	d2ib0a1	candidate
d1bgca_	d2oh3a1	candidate
d1bgca_	d4iwka_	candidate
d1bgca_	d2pyba_	candidate
d1uv7a_	d2cpda1	candidate
d1uv7a_	d1ygya3	candidate
d1uv7a_	d6c3ma3	candidate
d2piaa2	d3nnsa_	candidate
d1uv7a_	d2f1fa2	candidate
d2d81a1	d5hc0a_	candidate
d1o0wa1	d1ztda1	candidate
d1uv7a_	d2joqa1	candidate
d1krha2	d5c1ta1	candidate
d4eh1a2	d5c1ta1	candidate
d1tvca2	d5c1ta1	candidate
d1qfja2	d5c1ta1	candidate
d1uv7a_	d1zvpa2	candidate
d1bdfa1	d1mwqa_	candidate
d2zgya2	d4yuca2	candidate
d2ghpa1	d3bp3a_	candidate
d3bp3a_	d5w0ga1	candidate
d3bp3a_	d3h2ve1	candidate
d1drua2	d3td3a1	candidate
d1p9la2	d3td3a1	candidate
d3qvsa2	d3td3a1	candidate
d1krha2	d3ktoa_	candidate
d1krha2	d3cg4a_	candidate
d1krha2	d1p9la1	candidate
d1krha2	d1l5za1	candidate
d1krha2	d1zgza1	candidate
d1krha2	d3hlya_	candidate
d1krha2	d1w25a2	candidate
d1krha2	d6xvud_	candidate
d1krha2	d7ccia1	candidate
d1krha2	d1w25a1	candidate
d1krha2	d6onta_	candidate
d1krha2	d2jrla_	candidate
d1krha2	d2b4aa1	candidate
d1krha2	d2qv0a_	candidate
d1krha2	d3eula_	candidate
d1krha2	d6ekgy_	candidate
d1krha2	d1p6qa_	candidate
d1krha2	d3w9sa_	candidate
d1krha2	d5nula_	candidate
d1krha2	d3t8ya_	candidate
d1jbea_	d1krha2	candidate
d1gdha2	d1krha2	candidate
d1krha2	d1u9ya2	candidate
d1krha2	d2qr3a1	candidate
d1krha2	d3luaa1	candidate
d1krha2	d4nica_	candidate
d1krha2	d5tqja_	candidate
d1krha2	d4d6ya_	candidate
d1krha2	d3heba1	candidate
d1krha2	d5dcla_	candidate
d1krha2	d6m8oa_	candidate
d1krha2	d4e7pa1	candidate
d1krha2	d4euka_	candidate
d1krha2	d3khta_	candidate
d1krha2	d1rlja1	candidate
d1krha2	d1t3ga_	candidate
d1dcfa_	d1krha2	candidate
d1krha2	d1mx3a2	candidate
d1krha2	d3h5ia_	candidate
d1krha2	d1m5ta_	candidate
d1krha2	d4zyla_	candidate
d1krha2	d3q15c_	candidate
d1k66a1	d1krha2	candidate
d3djca1	d3uh0a2	candidate
d1nu0a_	d3uh0a2	candidate
d1d1na_	d4rd4a3	candidate
d1d1na_	d1vloa1	candidate
d3fz2a1	d4i6ya2	candidate
d1cg2a2	d3fz2a1	candidate
d1vgya2	d3fz2a1	candidate
d1uv7a_	d3c20a2	candidate
d3hlya_	d4eh1a2	candidate
d3hlya_	d3qfta2	candidate
d1tvca2	d3hlya_	candidate
d1f20a2	d3hlya_	candidate
d3hlya_	d3lo8a2	candidate
d1r5ba1	d4rd4a3	candidate
d1r5ba1	d4ac9a3	candidate
d1r5ba1	d1vloa1	candidate
d1ri6a1	d4wjka_	candidate
d1l0qa2	d4wjka_	candidate
d3mvua_	d3n0pa_	candidate
d1l0wa2	d2p8ia2	candidate
d1eera_	d1lkoa1	candidate
d1lkoa1	d2l3ya_	candidate
d1evsa_	d1lkoa1	candidate
d1lkia_	d1lkoa1	candidate
d1bdfa1	d3fmba1	candidate
d1twfk_	d3fmba1	candidate
d2jdid2	d2pp6a1	candidate
d2jdid2	d4rd4a3	candidate
d1vloa1	d2jdid2	candidate
d1w25a2	d4eh1a2	candidate
d1w25a2	d3qfta2	candidate
d1f20a2	d1w25a2	candidate
d1w25a2	d3lo8a2	candidate
d1o13a_	d2cyja1	candidate
d1wu7a1	d2cyja1	candidate
d1rdua_	d2cyja1	candidate
d2ghpa1	d3buea_	candidate
d3buea_	d3h2ve1	candidate
d3buea_	d3dxsx_	candidate
d2y8ya1	d3buea_	candidate
d3buea_	d3u1la2	candidate
d2dita1	d3buea_	candidate
d1jmta_	d3buea_	candidate
d1booa_	d2nxca1	candidate
d1booa_	d1o9ga_	candidate
d1booa_	d3gu3a_	candidate
d1booa_	d2b3ta_	candidate
d1booa_	d1ri5a_	candidate
d1booa_	d1rjda1	candidate
d1g60a_	d2nxca1	candidate
d1g60a_	d2b3ta_	candidate
d1g60a_	d1ri5a_	candidate
d1g60a_	d3tosa_	candidate
d1g60a_	d2wk1a_	candidate
d2a73a4	d5m0yb1	candidate
d1uv7a_	d2g9oa_	candidate
d1npea_	d2xzga1	candidate
d1ijqa1	d2xzga1	candidate
d1xgsa1	d2heoa_	candidate
d1jqlb_	d1zpda2	candidate
d1uv7a_	d2cdqa3	candidate
d1lvaa3	d1xgsa1	candidate
d1qfha1	d5m0yb1	candidate
d1wmda1	d3v98a1	candidate
d2id4a1	d3v98a1	candidate
d1rdua_	d2q4qa2	candidate
d4eh1a2	d6xvud_	candidate
d3qfta2	d6xvud_	candidate
d1tvca2	d6xvud_	candidate
d1f20a2	d6xvud_	candidate
d2piaa2	d6xvud_	candidate
d1i1rb_	d3ka8a_	candidate
d1evsa_	d3ka8a_	candidate
d3ka8a_	d3n0pa_	candidate
d1rhca_	d2d69a1	candidate
d1ccwa_	d4eh1a2	candidate
d1ccwa_	d3qfta2	candidate
d1ccwa_	d1tvca2	candidate
d1ccwa_	d1f20a2	candidate
d1ccwa_	d2piaa2	candidate
d1nbwb_	d2vgna2	candidate
d2d0ob1	d2vgna2	candidate
d1vq8s1	d2cq1a1	candidate
d1eera_	d2fjca1	candidate
d1eera_	d4cyba_	candidate
d1eera_	d3iq1a_	candidate
d1eera_	d4cvra_	candidate
d1eera_	d1nfva_	candidate
d1eera_	d2fzfa1	candidate
d1eera_	d3kwoa1	candidate
d1eera_	d2yjka_	candidate
d1eera_	d7diea_	candidate
d1eera_	d2cf7a_	candidate
d1eera_	d6txia_	candidate
d1eera_	d4a25a_	candidate
d1eera_	d1jiga_	candidate
d1eera_	d2ib0a1	candidate
d1eera_	d2oh3a1	candidate
d1eera_	d4iwka_	candidate
d1eera_	d2pyba_	candidate
d1eera_	d1vjxa1	candidate
d2huja1	d3iam13	candidate
d2etsa1	d3iam13	candidate
d1tqyb2	d1u14a1	candidate
d1ox0a2	d1u14a1	candidate
d1u14a1	d4jaqa2	candidate
d1u14a1	d1u6ea2	candidate
d1hnja2	d1u14a1	candidate
d1u14a1	d4c72a2	candidate
d1o2ca1	d1uv7a_	candidate
d1qsda_	d2ih3c_	candidate
d1qsda_	d2fcwa1	candidate
d1i1rb_	d3kwoa1	candidate
d1i1rb_	d1jiga_	candidate
d1i1rb_	d4iwka_	candidate
d1bdfa1	d2od4a1	candidate
d1j77a_	d3piwa_	candidate
d4eh1a2	d7ccia1	candidate
d1tvca2	d7ccia1	candidate
d1f20a2	d7ccia1	candidate
d2piaa2	d7ccia1	candidate
d1qfja2	d7ccia1	candidate
d3ii7a_	d6xlra2	candidate
d2l3ya_	d4cvra_	candidate
d2l3ya_	d4a25a_	candidate
d2ib0a1	d2l3ya_	candidate
d2l3ya_	d2pyba_	candidate
d1uv7a_	d1wf2a1	candidate
d1r4xa1	d2edma1	candidate
d1p4ua_	d2edma1	candidate
d2a7ba_	d2edma1	candidate
d3rkpa3	d4lxoa2	candidate
d1dt9a1	d2d0ob1	candidate
d1vdza2	d2l5ta_	candidate
d1geqa_	d3aama_	candidate
d1bdfa1	d1x7va1	candidate
d2piaa2	d2zaya_	candidate
d1bdfa1	d3qmqa1	candidate
d1bdfa1	d1cg2a2	candidate
d1bdfa1	d1q8ba_	candidate
d1bdfa1	d1tz0a_	candidate
d1bdfa1	d5b08a_	candidate
d1bdfa1	d1loua_	candidate
d1bdfa1	d2vv5a2	candidate
d1bdfa1	d1vmba_	candidate
d1bdfa1	d1d5ka_	candidate
d1bdfa1	d1iuja_	candidate
d1bdfa1	d1j27a_	candidate
d1bdfa1	d3kdna1	candidate
d1bdfa1	d3dxsx_	candidate
d1bdfa1	d1jjcb4	candidate
d1bdfa1	d2j5aa1	candidate
d1bdfa1	d1iwga1	candidate
d1bdfa1	d2qyca1	candidate
d1bdfa1	d2pd1a1	candidate
d1bdfa1	d2qn6b_	candidate
d1bdfa1	d1u8sa2	candidate
d1bdfa1	d2bbea_	candidate
d1bdfa1	d3bgua1	candidate
d1bdfa1	d1iwga4	candidate
d1bdfa1	d2wvfa2	candidate
d1bdfa1	d1lq9a_	candidate
d1bdfa1	d2qalf1	candidate
d1bdfa1	d2b7cb_	candidate
d1bdfa1	d2vjva1	candidate
d1bdfa1	d1vgya2	candidate
d1bdfa1	d1ivza1	candidate
d1xgsa1	d2dtra1	candidate
d2ia7a1	d4hasa_	candidate
d1w25a1	d4eh1a2	candidate
d1w25a1	d3qfta2	candidate
d1w25a1	d2piaa2	candidate
d3u3ga_	d3v7ia1	candidate
d2c78a2	d3gqba1	candidate
d2c78a2	d2e1ba1	candidate
d1g7sa1	d2c78a2	candidate
d3qfta2	d6ohka1	candidate
d1f20a2	d6ohka1	candidate
