domA	domB	source
d2ih3c_	d3ze3a_	candidate
d1r5ba1	d2pp6a1	candidate
d2c78a1	d2pp6a1	candidate
d1jnya1	d2pp6a1	candidate
d1y0ya1	d2pp6a1	candidate
d2pp6a1	d4ac9a1	candidate
d1vhoa1	d2pp6a1	candidate
d1p41a1	d1xgsa1	candidate
d1sk7a_	d3piwa_	candidate
d1f20a2	d3cz5a_	candidate
d1uv7a_	d2bm1a4	candidate
d1vloa1	d2c78a1	candidate
d1cg2a2	d2gjva1	candidate
d1uv7a_	d2rs8a1	candidate
d4eh1a2	d6onta_	candidate
d2piaa2	d6onta_	candidate
d1c0aa2	d3gp9a1	candidate
d1q8ba_	d1xppa_	candidate
d2j01s1	d4fyla1	candidate
d1chda_	d4xlla_	candidate
d1nbwb_	d4af1a2	candidate
d1ox0a2	d4af1a2	candidate
d2d0ob1	d4af1a2	candidate
d4af1a2	d4c72a2	candidate
d1r30a_	d1ynpa1	candidate
d1r30a_	d7ezia1	candidate
d1r30a_	d5jgya_	candidate
d1r30a_	d3n6qa_	candidate
d1r30a_	d4r9oa_	candidate
d1g7sa4	d2j4ja_	candidate
d2jrla_	d2piaa2	candidate
d1e8ca2	d3ewoa1	candidate
d1p3da2	d3ewoa1	candidate
d1o5za1	d3ewoa1	candidate
d3qfta2	d6swla_	candidate
d1f20a2	d6swla_	candidate
d2piaa2	d6swla_	candidate
d1uv7a_	d2ghpa1	candidate
d1vq8s1	d2ghpa1	candidate
d1o0wa2	d2vyxa_	candidate
d1wu7a1	d2bh1a1	candidate
d1wu7a1	d3zeua1	candidate
d1bu8a1	d3ziwa2	candidate
d1bu8a1	d2id4a1	candidate
d2gjva1	d3i4hx1	candidate
d1xgsa1	d2ve8a_	candidate
d1v95a1	d3djca1	candidate
d2b4aa1	d4eh1a2	candidate
d2b4aa1	d3qfta2	candidate
d1tvca2	d2b4aa1	candidate
d1f20a2	d2b4aa1	candidate
d2b4aa1	d2piaa2	candidate
d2b4aa1	d3lo8a2	candidate
d1lkia_	d2fjca1	candidate
d1n26a3	d3rkpa1	candidate
d1alua_	d2q4xa_	candidate
d1ca1a2	d1uxza_	candidate
d1uv7a_	d2dnqa1	candidate
d1vq8s1	d2dnqa1	candidate
d1tvca2	d5ljpa_	candidate
d1uv7a_	d1v5ib1	candidate
d1gz0a2	d2wb9a1	candidate
d3rkpa3	d6xaxa1	candidate
d2qv0a_	d4eh1a2	candidate
d2qv0a_	d3qfta2	candidate
d1t15a2	d1yt8a2	candidate
d1yt8a2	d2r48a1	candidate
d1xgsa1	d2bbya_	candidate
d1n1fa_	d1sk7a_	candidate
d1i4ja_	d4kema1	candidate
d1gr0a2	d1qmha1	candidate
d1drua2	d1qmha1	candidate
d1qmha1	d6rvqa2	candidate
d1qmha1	d3c9ua1	candidate
d1d2pa4	d4qmea3	candidate
d2a73b6	d3v98a1	candidate
d1k77a1	d2w79a_	candidate
d1k77a1	d3r1za2	candidate
d1k77a1	d4dhga2	candidate
d1geqa_	d1k77a1	candidate
d1k77a1	d3thaa1	candidate
d1ca1a2	d5ikua1	candidate
d1ca1a2	d1wmda1	candidate
d1ca1a2	d1f15a_	candidate
d1ca1a2	d1nqja_	candidate
d1ca1a2	d2qkga3	candidate
d1ca1a2	d2id4a1	candidate
d1ca1a2	d4ywaa_	candidate
d2j01s1	d3v2cy_	candidate
d2j01s1	d3tqma_	candidate
d2pp6a1	d3gqba1	candidate
d3gqba1	d4rd4a3	candidate
d1vloa1	d3gqba1	candidate
d2qdva_	d3qvaa1	candidate
d3cvba_	d3qvaa1	candidate
d1ibya_	d3qvaa1	candidate
d1evsa_	d2q4xa_	candidate
d1evsa_	d4cyba_	candidate
d1evsa_	d3iq1a_	candidate
d1evsa_	d4cvra_	candidate
d1evsa_	d1nfva_	candidate
d1evsa_	d3kwoa1	candidate
d1evsa_	d2yjka_	candidate
d1evsa_	d5hjfa_	candidate
d1evsa_	d2cf7a_	candidate
d1evsa_	d5uwza_	candidate
d1evsa_	d6txia_	candidate
d1evsa_	d4a25a_	candidate
d1evsa_	d1jiga_	candidate
d1evsa_	d2ib0a1	candidate
d1evsa_	d2oh3a1	candidate
d1evsa_	d4iwka_	candidate
d1evsa_	d2pyba_	candidate
d1evsa_	d1vjxa1	candidate
d2dpya1	d2pp6a1	candidate
d1vloa1	d2dpya1	candidate
d3hn3a2	d3rkpa3	candidate
d5o2da_	d5xk6a1	candidate
d1vjpa4	d3td3a1	candidate
d1vjpa4	d2v9ya1	candidate
d1vjpa4	d2z1ea1	candidate
d1vjpa4	d6rvqa2	candidate
d1k8ma1	d1vdza2	candidate
d1ghja_	d1vdza2	candidate
d1bdoa_	d1vdza2	candidate
d1uv7a_	d3b0ga3	candidate
d1lkia_	d4cyba_	candidate
d3eula_	d4eh1a2	candidate
d3eula_	d3qfta2	candidate
d1tvca2	d3eula_	candidate
d2piaa2	d3eula_	candidate
d3eula_	d3lo8a2	candidate
d1rhca_	d7c0da_	candidate
d1rhca_	d4fhaa_	candidate
d1rhca_	d3na8a_	candidate
d1rhca_	d5ruba1	candidate
d1rhca_	d2egza_	candidate
d1rhca_	d1vr6a2	candidate
d1rhca_	d2oemb2	candidate
d1rhca_	d4cnna_	candidate
d1rhca_	d1sfla_	candidate
d1r30a_	d4ijra_	candidate
d1h4vb1	d5tkwa2	candidate
d1qbja_	d1xgsa1	candidate
d1iv0a_	d1wu7a1	candidate
d2piaa2	d3kcna1	candidate
d5laua1	d5xk6a1	candidate
d3qfta2	d6ekgy_	candidate
d1tvca2	d6ekgy_	candidate
d2piaa2	d6ekgy_	candidate
d3lo8a2	d6ekgy_	candidate
d1luca_	d1tj2a2	candidate
d1luca_	d4f8xa_	candidate
d1xgsa1	d3bwga1	candidate
d2p0ma2	d5ikua1	candidate
d1jnya1	d4rd4a3	candidate
d1jnya1	d4ac9a3	candidate
d1jnya1	d1vloa1	candidate
d1v95a1	d2f9wa2	candidate
d1kmma1	d2f9wa2	candidate
d1p6qa_	d4eh1a2	candidate
d1p6qa_	d2piaa2	candidate
d1dm9a_	d1h3fa2	candidate
d1h3fa2	d1ni3a2	candidate
d2nlya1	d3kxqa_	candidate
d2nlya1	d3taob_	candidate
d2nlya1	d3llxa2	candidate
d1fjgj_	d1yqha1	candidate
d1fjgj_	d2iboa1	candidate
d1vq8s1	d2mzqa1	candidate
d1v95a1	d3bexa1	candidate
d1ny5a1	d3qfta2	candidate
d1ny5a1	d2piaa2	candidate
d2piaa2	d3hdva_	candidate
d1uv7a_	d2ytca1	candidate
d1uv7a_	d1zpva1	candidate
d2ia7a1	d2wwea1	candidate
d1r4xa1	d6btya_	candidate
d1ca1a2	d5hbaa_	candidate
d3iq1a_	d3s9da_	candidate
d1lkia_	d3iq1a_	candidate
d3iq1a_	d3n0pa_	candidate
d1v5va1	d4ac9a2	candidate
d1vloa1	d4ac9a2	candidate
d1bu8a1	d1wmda1	candidate
d1wmda1	d2p0ma2	candidate
d2piaa2	d3w9sa_	candidate
d1uv7a_	d2ek1a1	candidate
d1uv7a_	d2dgva1	candidate
d1uj6a2	d1uv7a_	candidate
d1uv7a_	d2qmwa2	candidate
d1uv7a_	d1whwa1	candidate
d1uv7a_	d6ud7c_	candidate
d1uv7a_	d5zcza_	candidate
d1uv7a_	d2dgta1	candidate
d1uv7a_	d2cqha1	candidate
d1kn6a_	d1uv7a_	candidate
d1uv7a_	d5diib2	candidate
d1uv7a_	d2cfxa2	candidate
d1uv7a_	d2f06a2	candidate
d1uv7a_	d2vd3a2	candidate
d1uv7a_	d3h2ve1	candidate
d1uv7a_	d6mm2a1	candidate
d1uv7a_	d2f06a1	candidate
d1uv7a_	d1yjra1	candidate
d1uv7a_	d3n79a1	candidate
d1uv7a_	d2cvea2	candidate
d1uv7a_	d2cg4a2	candidate
d1uv7a_	d1vi7a2	candidate
d1uv7a_	d2xmka_	candidate
d1uv7a_	d2e29a1	candidate
d1utaa_	d1uv7a_	candidate
d1uv7a_	d3cjkb1	candidate
d1phza1	d1uv7a_	candidate
d1uv7a_	d3c20a3	candidate
d1uv7a_	d5uzna_	candidate
d1uv7a_	d2p5va2	candidate
d1u8sa2	d1uv7a_	candidate
d1uv7a_	d4iyqa1	candidate
d1uv7a_	d3b82a3	candidate
d1uv7a_	d2xmwa_	candidate
d1uv7a_	d2dcla_	candidate
d1uv7a_	d2j0wa2	candidate
d1uv7a_	d2wvfa2	candidate
d1uv7a_	d1y7pa2	candidate
d1uv7a_	d2bj7a2	candidate
d1uv7a_	d1x4ea1	candidate
d1uv7a_	d1zhva2	candidate
d1uv7a_	d2rsqa_	candidate
d1uv7a_	d2nzca1	candidate
d1uv7a_	d2pn6a2	candidate
d1uv7a_	d1wwha1	candidate
d1u0sa_	d1uv7a_	candidate
d1uv7a_	d2dy1a4	candidate
d1ufwa1	d1uv7a_	candidate
d1ayea2	d1uv7a_	candidate
d1nzaa_	d1uv7a_	candidate
d1uv7a_	d6c3ma1	candidate
d1uv7a_	d4yb6a2	candidate
d1spbp_	d1uv7a_	candidate
d1uv7a_	d1zj9a1	candidate
d1uv7a_	d2nuha_	candidate
d1q5ya_	d1uv7a_	candidate
d2piaa2	d5t3ya_	candidate
d1bvyf_	d3qfta2	candidate
d1bvyf_	d1tvca2	candidate
d1bvyf_	d1f20a2	candidate
d1f00i1	d5m0yb1	candidate
d1kzla1	d2gmqa1	candidate
d2gmqa1	d4gqna1	candidate
d1k77a1	d1x7fa2	candidate
d1nu0a_	d1v95a1	candidate
d1v95a1	d1vhxa1	candidate
d1ctfa_	d2lrra_	candidate
d2piaa2	d2qxya1	candidate
d1wl4a2	d3u3ga_	candidate
d1gz0a2	d4f0ba1	candidate
d1lkia_	d4cvra_	candidate
d1lucb_	d1tj2a2	candidate
d1lkia_	d1nfva_	candidate
d1vq8s1	d6q2ia_	candidate
d2p5ma_	d3h2ve1	candidate
d1vq8s1	d3h2ve1	candidate
d2fzfa1	d4neja_	candidate
d1alua_	d3kwoa1	candidate
d1lkia_	d3kwoa1	candidate
d3kwoa1	d3n0pa_	candidate
d1cnt1_	d3kwoa1	candidate
d4eh1a2	d5nula_	candidate
d3qfta2	d5nula_	candidate
d1tvca2	d5nula_	candidate
d1f20a2	d5nula_	candidate
d1pj5a1	d2qgga1	candidate
d3t8ya_	d4eh1a2	candidate
d3qfta2	d3t8ya_	candidate
d1tvca2	d3t8ya_	candidate
d1f20a2	d3t8ya_	candidate
d2piaa2	d3t8ya_	candidate
d1qfja2	d3t8ya_	candidate
d3lo8a2	d3t8ya_	candidate
d4eh1a2	d6ohka1	candidate
d1gdha2	d4eh1a2	candidate
d4eh1a2	d5tqja_	candidate
d4d6ya_	d4eh1a2	candidate
d3heba1	d4eh1a2	candidate
d4eh1a2	d5wida_	candidate
d4e7pa1	d4eh1a2	candidate
d4eh1a2	d4euka_	candidate
d3khta_	d4eh1a2	candidate
d1rlja1	d4eh1a2	candidate
d1t3ga_	d4eh1a2	candidate
d1mx3a2	d4eh1a2	candidate
d3h5ia_	d4eh1a2	candidate
d1m5ta_	d4eh1a2	candidate
d4eh1a2	d4zyla_	candidate
d3q15c_	d4eh1a2	candidate
d4d86a1	d5xk6a1	candidate
d1vq8s1	d3md3a1	candidate
d1vq8s1	d2dnna1	candidate
d1jbea_	d2piaa2	candidate
d1j6ua2	d2dx6a_	candidate
d1j27a_	d2gjva1	candidate
d2piaa2	d3gt7a_	candidate
d1h4vb1	d2qi2a2	candidate
d1h4vb1	d2f9wa2	candidate
d1h4vb1	d2bh1a1	candidate
d1h4vb1	d1nu0a_	candidate
d1h4vb1	d3zeua1	candidate
d1h4vb1	d1zbsa2	candidate
d2p5ma_	d3dxsx_	candidate
d1f74a_	d1rhca_	candidate
d1l7da2	d2naca1	candidate
d1rhca_	d5ui3a_	candidate
d1gz0a2	d4tr1a1	candidate
d1gz0a2	d2lqoa1	candidate
d1gz0a2	d1t4za1	candidate
d1gz0a2	d4hs1a1	candidate
d1gz0a2	d4o32a1	candidate
d1gz0a2	d1t1va_	candidate
d1gdha2	d1tvca2	candidate
d1gdha2	d2piaa2	candidate
d1gdha2	d1qfja2	candidate
d2dx6a_	d4cvka3	candidate
d3ewra_	d4cvka3	candidate
d1rhca_	d1sr9a2	candidate
d1ezwa_	d1sr9a2	candidate
d1cd9b2	d3rkpa3	candidate
d2piaa2	d3t6ka_	candidate
d2piaa2	d2rjna_	candidate
d1q79a3	d2gjva1	candidate
d1vgya2	d2gjva1	candidate
d1hwla1	d2gjva1	candidate
d1ivza1	d2gjva1	candidate
d1nbwb_	d2qi2a2	candidate
d2ia7a1	d3luia_	candidate
d1xgsa1	d4awxb1	candidate
d1u9ya2	d2piaa2	candidate
d2w0pa_	d5m0yb1	candidate
d4h8wc2	d5m0yb1	candidate
d3rgha1	d5m0yb1	candidate
d1yq2a2	d5m0yb1	candidate
d1x5aa1	d3rkpa3	candidate
d1ffgb_	d2p5ma_	candidate
d2p5ma_	d3u1la2	candidate
d2piaa2	d2qr3a1	candidate
d1cf7a_	d1xgsa1	candidate
d1r4xa1	d1rh8a_	candidate
d1rh8a_	d3ivva1	candidate
d1lb6a_	d1rh8a_	candidate
d3ltea_	d3qfta2	candidate
d3cfya1	d3qfta2	candidate
d1dbwa_	d3qfta2	candidate
d3qfta2	d7ccia1	candidate
d3qfta2	d6onta_	candidate
d1jbea_	d3qfta2	candidate
d3hv2a_	d3qfta2	candidate
d3qfta2	d7l9ca_	candidate
d3heba1	d3qfta2	candidate
d3qfta2	d5wida_	candidate
d3qfta2	d4e7pa1	candidate
d3qfta2	d4euka_	candidate
d3khta_	d3qfta2	candidate
d1t3ga_	d3qfta2	candidate
d1m5ta_	d3qfta2	candidate
d3qfta2	d4zyla_	candidate
d2mska_	d3qfta2	candidate
d3q15c_	d3qfta2	candidate
d1k66a1	d3qfta2	candidate
d1xgsa1	d7cv2a1	candidate
d1wi9a1	d1xgsa1	candidate
d1u5tb2	d1xgsa1	candidate
d1hw1a1	d1xgsa1	candidate
d1lvaa4	d1xgsa1	candidate
d1xgsa1	d3cuqa2	candidate
d1xgsa1	d2ns0a1	candidate
d1xgsa1	d2hs5a1	candidate
d1ussa_	d1xgsa1	candidate
d1oyia_	d1xgsa1	candidate
d1sfua_	d1xgsa1	candidate
d1cf7b_	d1xgsa1	candidate
d1xgsa1	d1z05a1	candidate
d1d8ka_	d1xgsa1	candidate
d1xgsa1	d3bz6a2	candidate
d1j5ya1	d1xgsa1	candidate
d1p16a2	d1s68a_	candidate
d1tvca2	d3hv2a_	candidate
d1f20a2	d3hv2a_	candidate
d1iwga1	d2phcb2	candidate
d1r4xa1	d2zkmx2	candidate
d1r4xa1	d4ns0a_	candidate
d1lkia_	d6sooa_	candidate
d1lkia_	d2yjka_	candidate
d1rhca_	d2r8wa_	candidate
d2e1ba1	d4rd4a3	candidate
d4ac9a1	d4rd4a3	candidate
d1g7sa1	d4rd4a3	candidate
d3kyga2	d4rd4a3	candidate
d1bdfa1	d2oema1	candidate
d2fh5a1	d3by8a_	candidate
d1hw1a1	d1zela1	candidate
d1uv7a_	d4zkaa_	candidate
d2piaa2	d3luaa1	candidate
d2piaa2	d4nica_	candidate
d1pj5a1	d2e1ba1	candidate
d1qfja1	d3a6ra_	candidate
d3a6ra_	d5ylya1	candidate
d1tvca1	d3a6ra_	candidate
d2piaa1	d3a6ra_	candidate
d1p9la1	d1tvca2	candidate
d1dbwa_	d1tvca2	candidate
d1tvca2	d1w25a2	candidate
d1tvca2	d6ohka1	candidate
d1tvca2	d5tqja_	candidate
d1tvca2	d3heba1	candidate
d1tvca2	d5wida_	candidate
d1tvca2	d4e7pa1	candidate
d1tvca2	d4euka_	candidate
d1tvca2	d3khta_	candidate
d1tvca2	d3d7na_	candidate
d1rlja1	d1tvca2	candidate
d1t3ga_	d1tvca2	candidate
d1tvca2	d2hnba_	candidate
d1tvca2	d3h5ia_	candidate
d1tvca2	d3q15c_	candidate
d1zunb1	d4rd4a3	candidate
d1vloa1	d1zunb1	candidate
d2piaa2	d7l9ca_	candidate
d1kmma1	d2bh1a1	candidate
d1uf1a1	d2hgaa1	candidate
d1dxya2	d3ozua3	candidate
d1dxya2	d2piaa2	candidate
d1dxya2	d1qfja2	candidate
d2piaa2	d5tqja_	candidate
d1vhna1	d5lxea_	candidate
d1p0za1	d6qh5s_	candidate
d4cnna_	d7bipa_	candidate
d1zkea1	d6sv1a1	candidate
d1ca4a1	d4weea1	candidate
d2piaa2	d4d6ya_	candidate
d1nu0a_	d4hwsa2	candidate
d1f20a2	d3heba1	candidate
d2piaa2	d3heba1	candidate
d3heba1	d3lo8a2	candidate
d2piaa2	d5dcla_	candidate
d1kmma1	d1nu0a_	candidate
d1nu0a_	d2d0ob1	candidate
d1hc7a1	d1nu0a_	candidate
d1g5ia1	d1nu0a_	candidate
d2bz7a_	d3qvaa1	candidate
d2g0wa1	d3thaa1	candidate
d1vq8s1	d5uzna_	candidate
d2piaa2	d6m8oa_	candidate
d3ozua3	d5wida_	candidate
d1f20a2	d5wida_	candidate
d1lkia_	d5hjfa_	candidate
d3n0pa_	d5hjfa_	candidate
d1yd9a1	d5xk6a1	candidate
d3proc2	d4lija_	candidate
d3rkpa3	d4gs7c2	candidate
d3rkpa3	d4jkla2	candidate
d3rkpa3	d6x39a1	candidate
d3rkpa3	d5n48b_	candidate
d3rkpa3	d6tpua1	candidate
d2db8a1	d3rkpa3	candidate
d1dbwa_	d1f20a2	candidate
d1f20a2	d6ekgy_	candidate
d1f20a2	d4e7pa1	candidate
d1f20a2	d2jk1a_	candidate
d1f20a2	d3khta_	candidate
d1f20a2	d1t3ga_	candidate
d2piaa2	d2qvga_	candidate
d1eerb2	d3rkpa1	candidate
d1vlya1	d2fvga1	candidate
d1iv0a_	d1kmma1	candidate
d1kmma1	d1vhxa1	candidate
d1kmma1	d3zeua1	candidate
d1kmma1	d1zbsa2	candidate
d1vjxa1	d2d48a_	candidate
d1qfja2	d1vm6a3	candidate
d2piaa2	d4e7pa1	candidate
d1qfja2	d4e7pa1	candidate
d3lo8a2	d4e7pa1	candidate
d1e8ca2	d2fg1a2	candidate
d1e8ca2	d5laua1	candidate
d1e8ca2	d3ewra_	candidate
d1iwga4	d2phcb2	candidate
d1jmta_	d2phcb2	candidate
d1ijqa1	d2ovrb2	candidate
d1alua_	d1jiga_	candidate
d1alua_	d2ib0a1	candidate
d1alua_	d2oh3a1	candidate
d1alua_	d4iwka_	candidate
d3iq1a_	d4neja_	candidate
d1nqja_	d3v98a1	candidate
d1nqja_	d2p0ma2	candidate
d1kqka_	d1vq8s1	candidate
d1vq8s1	d3begb_	candidate
d1vq8s1	d2fc9a1	candidate
d1vq8s1	d1weza1	candidate
d1vq8s1	d1x4da1	candidate
d1vq8s1	d4yuda1	candidate
d1ep3b1	d1vloa1	candidate
d1vfia1	d3mhsb_	candidate
d1drua2	d3oona1	candidate
d1p9la2	d3oona1	candidate
d1uv7a_	d4a8xa1	candidate
d2id4a1	d3pzwa1	candidate
d2zgya2	d4jaqa2	candidate
d1g7sa1	d4ac9a3	candidate
d2ia7a1	d3p0ca1	candidate
d1xtea_	d2ia7a1	candidate
d2piaa2	d4euka_	candidate
d3fsta_	d3gd6a2	candidate
d1iwga4	d1ru0a_	candidate
d1iq0a3	d3u1la2	candidate
d4g3ha_	d6n4la_	candidate
d1p0za1	d2fh5a1	candidate
d2piaa2	d2plna1	candidate
d2jk1a_	d2piaa2	candidate
d1e8ca2	d2dx6a_	candidate
d1p3da2	d2dx6a_	candidate
d2dx6a_	d2wjpa3	candidate
d1o5za1	d2dx6a_	candidate
d1tj2a2	d7bipa_	candidate
d4f8xa_	d7bipa_	candidate
d2ccva1	d3edea1	candidate
d1lkia_	d2cf7a_	candidate
d1uv7a_	d2do4a1	candidate
d2huja1	d6zk913	candidate
d2etsa1	d6zk913	candidate
d1p3da2	d3ewra_	candidate
d2piaa2	d3khta_	candidate
d1qfja2	d3khta_	candidate
d3khta_	d3lo8a2	candidate
d1drua2	d7rjja_	candidate
d3n0pa_	d5uwza_	candidate
d1joga_	d1zcba1	candidate
d1lkia_	d6txia_	candidate
d1hc7a1	d1vhxa1	candidate
d3cj1a1	d3v7ia1	candidate
d1u0ma2	d3cj1a1	candidate
d1r4xa1	d2cjta1	candidate
d1v6ta_	d4hl7a2	candidate
d1a04a2	d2piaa2	candidate
d1sc6a2	d2piaa2	candidate
d2piaa2	d5i4ca_	candidate
d1p9la1	d2piaa2	candidate
d1l5za1	d2piaa2	candidate
d1w25a2	d2piaa2	candidate
d2piaa2	d3cz5a_	candidate
d2piaa2	d2qv0a_	candidate
d2egha2	d2piaa2	candidate
d1rlja1	d2piaa2	candidate
d1t3ga_	d2piaa2	candidate
d2piaa2	d4xlta1	candidate
d1dcfa_	d2piaa2	candidate
d1mx3a2	d2piaa2	candidate
d2piaa2	d3h5ia_	candidate
d1m5ta_	d2piaa2	candidate
d2piaa2	d4zyla_	candidate
d2piaa2	d3hdga1	candidate
d2n9ua1	d2piaa2	candidate
d2mska_	d2piaa2	candidate
d2piaa2	d3i42a1	candidate
d2piaa2	d3q15c_	candidate
d1k66a1	d2piaa2	candidate
d1lq9a_	d1s7ia1	candidate
d1vloa1	d1y0ya1	candidate
d1cf7b_	d1qzya1	candidate
d2ez6a2	d2vyxa_	candidate
d1vloa1	d4ac9a1	candidate
d1bu8a1	d6ygqa1	candidate
d1ca4a1	d3fdwa_	candidate
d1lb6a_	d3fdwa_	candidate
d1u0ma2	d2zgya2	candidate
d1lkia_	d1z6oa1	candidate
d1lkia_	d4a25a_	candidate
d1jiga_	d1lkia_	candidate
d1lkia_	d2ib0a1	candidate
d1lkia_	d2oh3a1	candidate
d1lkia_	d4iwka_	candidate
d1lkia_	d2pyba_	candidate
d1lkia_	d1vjxa1	candidate
d2egha2	d3qfta2	candidate
d1f20a2	d2egha2	candidate
d1qfja2	d2egha2	candidate
d1vq8r1	d3q4da1	candidate
d1vq8r1	d3i6ea1	candidate
d1kkoa2	d1vq8r1	candidate
d1vq8r1	d2pgwa1	candidate
d1vq8r1	d4kema1	candidate
d1vq8r1	d4e6ma1	candidate
d1vq8r1	d3toya1	candidate
d1vq8r1	d3ik4a1	candidate
d1vq8r1	d4hpna1	candidate
d1vq8r1	d3dgba1	candidate
d1v6ta_	d3llxa2	candidate
d1vlya1	d1yloa1	candidate
d1v5va1	d1yloa1	candidate
d1fxla1	d1uv7a_	candidate
d1jiga_	d3n0pa_	candidate
d2cj4a_	d3dbya2	candidate
d1qfja2	d1t3ga_	candidate
d1t3ga_	d3lo8a2	candidate
d1u14a1	d5w8qa2	candidate
d2im5a2	d3amca_	candidate
d1mx3a2	d1qfja2	candidate
d2b61a1	d2d81a1	candidate
d2ib0a1	d3n0pa_	candidate
d1jsca3	d1w4ra1	candidate
d1aepa_	d1mqva_	candidate
d1aepa_	d1s05a_	candidate
d2id4a1	d2p0ma2	candidate
d1r4xa1	d2bwqa_	candidate
d2bwqa_	d3ivva1	candidate
d3rkpa1	d4eq3a1	candidate
d1rhca_	d1tj2a2	candidate
d2oh3a1	d3n0pa_	candidate
d3n0pa_	d4iwka_	candidate
d2pyba_	d3n0pa_	candidate
d1p9la1	d1qfja2	candidate
d1qfja2	d2b4aa1	candidate
d1qfja2	d2pv7a2	candidate
d1j4aa2	d1qfja2	candidate
d2i5ia1	d3llxa2	candidate
d3lo8a2	d7ccia1	candidate
d2egha2	d3lo8a2	candidate
d3lo8a2	d4zyla_	candidate
d1aepa_	d3vrca_	candidate
d1o5za1	d3ewra_	candidate
d1xg2b1	d3dbya2	candidate
d1huwa_	d2oh3a1	candidate
d1g7sa1	d1vloa1	candidate
d1pj5a1	d2piaa1	candidate
d1qe0a1	d2qi2a2	candidate
d1iv0a_	d1qe0a1	candidate
d3ivva1	d4ns0a_	candidate
d1lb6a_	d4ns0a_	candidate
d1uv7a_	d2j0wa3	candidate
d3raoa1	d4f8xa_	candidate
d1jmta_	d2ebba_	candidate
d1ezwa_	d4fhaa_	candidate
d1ezwa_	d1vr6a2	candidate
d1ezwa_	d4cnna_	candidate
d2wjpa3	d3ewra_	candidate
d1bdfa1	d2fyxa1	candidate
d2ccva1	d2ifga1	candidate
d1vhoa1	d1vloa1	candidate
d1sqra_	d1vloa1	candidate
d1p3da2	d1vhua_	candidate
d1u0ma1	d4jhca_	candidate
d1lb6a_	d1wfja1	candidate
d1lb6a_	d2yrba1	candidate
d1ipaa2	d1t1va_	candidate
d1i60a_	d3thaa1	candidate
d1vloa1	d2pp6a1	candidate
d1vloa1	d2fvga1	candidate
d2db8a1	d3rkpa1	candidate
d3qvsa2	d4zhwa_	candidate
